"gene","FC_RARA","FC_RARG","FC_Combo","category"
"Mrps28",0,0,2.39939347028258,"Combo Unique (n=173)"
"Nfix",0,1.09225800077509,0,"RARG Unique (n=163)"
"Vdac1",0,0,1.23254664152747,"Combo Unique (n=173)"
"Gm43948",0,0,-1.27849001405434,"Combo Unique (n=173)"
"Paip2",0,0,0.889829493983783,"Combo Unique (n=173)"
"Mpped2",0,1.02682857978599,0,"RARG Unique (n=163)"
"Txndc11",0,0.828884232568332,0,"RARG Unique (n=163)"
"Gaa",0,-1.61172369715775,0,"RARG Unique (n=163)"
"Etv1",0,-0.778875272891774,0,"RARG Unique (n=163)"
"Rnf4",0,-3.33843502460947,0,"RARG Unique (n=163)"
"1700025G04Rik",0,0,0.551950600333227,"Combo Unique (n=173)"
"Sybu",0,0,-0.588007763076984,"Combo Unique (n=173)"
"Anxa11",0,-2.08956898538987,0,"RARG Unique (n=163)"
"Timm23",0,1.63951929101666,0,"RARG Unique (n=163)"
"Rps11",0,0,2.62320715759094,"Combo Unique (n=173)"
"Etfa",0,1.71216773808936,0,"RARG Unique (n=163)"
"Zmym3",0,2.59407264066412,0,"RARG Unique (n=163)"
"Aebp2",0,1.78069528908066,0,"RARG Unique (n=163)"
"Rap2b",0,0,2.19731248087348,"Combo Unique (n=173)"
"Acbd6",0,0,0.646178440825456,"Combo Unique (n=173)"
"Gzf1",0,0,-1.45591524905266,"Combo Unique (n=173)"
"Map3k10",0,0,-1.03150747544793,"Combo Unique (n=173)"
"Ttll11",0,0,0.71409016100042,"Combo Unique (n=173)"
"Snapc4",0,2.23708441263222,0,"RARG Unique (n=163)"
"Csnk1d",0,0,2.03583947904916,"Combo Unique (n=173)"
"Pex1",0,0,1.90983514405311,"Combo Unique (n=173)"
"Eprs",0,0,1.22275983905753,"Combo Unique (n=173)"
"Tbc1d8",0,0,-1.54708645778399,"Combo Unique (n=173)"
"Tango6",0,-1.57333111448234,0,"RARG Unique (n=163)"
"Fsd1l",0,0,1.52588449560865,"Combo Unique (n=173)"
"Gas6",0,0,1.80782800358904,"Combo Unique (n=173)"
"Catsper2",0,0,-1.94324181720659,"Combo Unique (n=173)"
"Hmgn1",0,0,-1.4278319733016,"Combo Unique (n=173)"
"Trmt11",0,0,-1.41910876347888,"Combo Unique (n=173)"
