"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.604510476836123,0.0183170549955856,0.448,0.4,1,"Naaladl2"
0.60466306204023,-0.573564553238933,0.096,0.111,1,"Kif3b"
0.604705261366752,-0.395277653051618,0.18,0.2,1,"Mtmr7"
0.604883801844885,-0.266002121687952,0.092,0.111,1,"Chrm1"
0.605022302019083,-0.519116902459889,0.148,0.167,1,"Adam10"
0.605142654343473,-0.147987599655326,0.152,0.122,1,"Faf2"
0.605185317175972,0.374557009386263,0.164,0.144,1,"Tnpo3"
0.605284113401021,0.180780580606114,0.06,0.044,1,"Cog6"
0.605284113401021,0.0676846133105631,0.06,0.044,1,"2610301B20Rik"
0.605284113401021,0.133527919985765,0.06,0.044,1,"Ints11"
0.605392829874374,-0.326959568190889,0.236,0.256,1,"Kdm5b"
0.605679692302791,-0.162862309430731,0.228,0.189,1,"Mysm1"
0.605753814286222,0.309168782121309,0.084,0.067,1,"Sart3"
0.606634608404315,-0.0468579562119085,0.552,0.589,1,"Luc7l2"
0.60678275238189,0.236162227658353,0.096,0.078,1,"Ncbp1"
0.606926453128082,0.111130303273014,0.236,0.2,1,"Fam171b"
0.60702354043653,1.08909431422977,0.08,0.067,1,"Gm16105"
0.607027206003636,0.335689424442319,0.176,0.156,1,"Rnf115"
0.608106975660312,0.217935339105024,0.072,0.056,1,"Foxk1"
0.608111961191482,-0.166930384206175,0.26,0.289,1,"Mbtd1"
0.608390598251675,0.38220363579449,0.156,0.133,1,"A930015D03Rik"
0.608541036861356,-0.134096474901408,0.96,0.922,1,"Lingo2"
0.608693189806189,0.37273532591883,0.12,0.1,1,"Mmd"
0.60874857695321,0.0721862799438874,0.124,0.1,1,"Ap3m1"
0.609065389573647,0.158446386099665,0.136,0.111,1,"Ints8"
0.609484657180447,0.279474230397353,0.084,0.067,1,"Lamp5"
0.609484657180447,0.22679672582242,0.084,0.067,1,"Exoc7"
0.609535022968344,-0.177102980870439,0.168,0.189,1,"Gng2"
0.609677943681116,0.0462036555028711,0.06,0.044,1,"Lactb2"
0.609677943681116,-0.0194469017224024,0.06,0.044,1,"St3gal2"
0.609677943681116,0.151902210404371,0.06,0.044,1,"Mettl17"
0.609677943681116,0.068064998734386,0.06,0.044,1,"Elfn2"
0.609677943681116,-0.442713556746662,0.052,0.067,1,"Gm11417"
0.609677943681116,-0.262590534640095,0.052,0.067,1,"Fgf9"
0.6098295699541,0.0204190890561027,0.06,0.078,1,"Gmeb1"
0.61032606033436,0.201458001717369,0.144,0.122,1,"Lmo7"
0.610980520863367,0.05716479537949,0.508,0.456,1,"Kcnj6"
0.61122027360082,-0.0134306661744272,0.788,0.667,1,"Tmem178b"
0.611353901297374,0.246557524191438,0.084,0.067,1,"Zkscan1"
0.611958402475123,-0.122751192393784,0.08,0.1,1,"Las1l"
0.612044086950884,0.252690612823039,0.096,0.078,1,"Adamts3"
0.612074963942273,-0.347460033649373,0.136,0.156,1,"Orc2"
0.612132305177215,0.334583180970465,0.072,0.056,1,"Akap5"
0.612132305177215,0.267648749680933,0.072,0.056,1,"Sptlc2"
0.612460755620583,-0.0378938664678934,0.448,0.378,1,"A330023F24Rik"
0.612547030945365,0.0114313719799028,0.844,0.8,1,"Tspan5"
0.613140333331975,0.267288903594627,0.072,0.056,1,"Cand1"
0.613485068996026,0.18965153640289,0.108,0.089,1,"Dicer1"
0.613632552236322,0.0586620772091258,0.528,0.467,1,"Kcnh1"
0.614085891639387,-0.269137635873963,0.052,0.067,1,"Plxdc1"
0.614085891639387,-0.0973127871366397,0.052,0.067,1,"Firre"
0.614149379849883,-0.615616111113977,0.064,0.078,1,"Rassf3"
0.614548357104635,-0.0391982240437403,0.204,0.167,1,"Tia1"
0.614633670879623,-0.32402229201893,0.072,0.089,1,"Rnf19a"
0.61469340609747,-0.262404901127104,0.184,0.2,1,"Dop1b"
